scheme_name,trans_date,amount,units,unit_price,latest_nav,latest_nav_date,gf_nav,new_purch_nav,ltcg,stcg,cumil_ltcg,cumil_units,current_amt,perc_gain
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,25-May-2017,15000.0,107.458,139.59,230.32,17-Jun-2021,157.64,157.64,7810.05,0.0,172592.61,2374.69,24749.73,65.0
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,27-Jun-2017,15000.0,108.53,138.21,230.32,17-Jun-2021,157.64,157.64,7887.96,0.0,180480.57,2483.22,24996.63,66.64
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,25-Jul-2017,15000.0,104.341,143.76,230.32,17-Jun-2021,157.64,157.64,7583.5,0.0,188064.08,2587.56,24031.82,60.21
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,28-Aug-2017,15000.0,105.374,142.35,230.32,17-Jun-2021,157.64,157.64,7658.58,0.0,195722.66,2692.94,24269.74,61.8
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,25-Sep-2017,15000.0,105.656,141.97,230.32,17-Jun-2021,157.64,157.64,7679.08,0.0,203401.74,2798.59,24334.69,62.23
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,25-Oct-2017,15000.0,101.303,148.07,230.32,17-Jun-2021,157.64,157.64,7362.7,0.0,210764.44,2899.9,23332.11,55.55
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,27-Nov-2017,15000.0,99.043,151.45,230.32,17-Jun-2021,157.64,157.64,7198.45,0.0,217962.89,2998.94,22811.58,52.08
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,26-Dec-2017,15000.0,97.289,154.18,230.32,17-Jun-2021,157.64,157.64,7070.96,0.0,225033.85,3096.23,22407.6,49.38
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,25-Jan-2018,15000.0,94.613,158.54,230.32,17-Jun-2021,157.64,157.64,6876.47,0.0,231910.32,3190.84,21791.27,45.28
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,26-Feb-2018,15000.0,98.445,152.37,230.32,17-Jun-2021,157.64,152.37,7673.79,0.0,239584.11,3289.29,22673.85,51.16
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,26-Mar-2018,15000.0,102.487,146.36,230.32,17-Jun-2021,157.64,146.36,8604.81,0.0,248188.92,3391.77,23604.81,57.37
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,25-Apr-2018,15000.0,98.736,151.92,230.32,17-Jun-2021,157.64,151.92,7740.9,0.0,255929.82,3490.51,22740.88,51.61
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,25-May-2018,15000.0,100.1,149.85,230.32,17-Jun-2021,157.64,149.85,8055.05,0.0,263984.87,3590.61,23055.03,53.7
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,25-Jun-2018,15000.0,99.206,151.2,230.32,17-Jun-2021,157.64,151.2,7849.18,0.0,271834.05,3689.82,22849.13,52.33
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,25-Jul-2018,15000.0,98.322,152.56,230.32,17-Jun-2021,157.64,152.56,7645.52,0.0,279479.57,3788.14,22645.52,50.97
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,27-Aug-2018,15000.0,92.713,161.79,230.32,17-Jun-2021,157.64,161.79,6353.62,0.0,285833.19,3880.85,21353.66,42.36
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,25-Sep-2018,15000.0,94.655,158.47,230.32,17-Jun-2021,157.64,158.47,6800.96,0.0,292634.15,3975.51,21800.94,45.34
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,25-Oct-2018,15000.0,102.522,146.31,230.32,17-Jun-2021,157.64,146.31,8612.87,0.0,301247.02,4078.03,23612.87,57.42
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,26-Nov-2018,15000.0,101.297,148.08,230.32,17-Jun-2021,157.64,148.08,8330.67,0.0,309577.69,4179.32,23330.73,55.54
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,07-Aug-2020,34998.25,224.693,155.76,230.32,17-Jun-2021,157.64,155.76,0.0,16753.11,309577.69,4404.02,51751.29,47.87
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,07-Sep-2020,34998.25,222.635,157.2,230.32,17-Jun-2021,157.64,157.2,0.0,16279.07,309577.69,4626.65,51277.29,46.51
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,07-Oct-2020,34998.25,220.046,159.05,230.32,17-Jun-2021,157.64,159.05,0.0,15682.68,309577.69,4846.7,50680.99,44.81
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,09-Nov-2020,34998.25,210.339,166.39,230.32,17-Jun-2021,157.64,166.39,0.0,13446.97,309577.69,5057.04,48445.28,38.42
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,07-Dec-2020,34998.25,190.716,183.51,230.32,17-Jun-2021,157.64,183.51,0.0,8927.42,309577.69,5247.75,43925.71,25.51
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,07-Jan-2021,34998.25,180.916,193.45,230.32,17-Jun-2021,157.64,193.45,0.0,6670.37,309577.69,5428.67,41668.57,19.06
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,09-Feb-2021,34998.25,168.853,207.27,230.32,17-Jun-2021,157.64,207.27,0.0,3892.06,309577.69,5597.52,38890.22,11.12
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,09-Mar-2021,34998.25,166.31,210.44,230.32,17-Jun-2021,157.64,210.44,0.0,3306.24,309577.69,5763.83,38304.52,9.45
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,09-Apr-2021,34998.25,164.899,212.24,230.32,17-Jun-2021,157.64,212.24,0.0,2981.37,309577.69,5928.73,37979.54,8.52
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,10-May-2021,34998.25,157.182,222.66,230.32,17-Jun-2021,157.64,222.66,0.0,1204.01,309577.69,6085.91,36202.16,3.44
ICICI Prudential Value Discovery Fund-Direct Plan-Growth,09-Jun-2021,34998.25,151.665,230.76,230.32,17-Jun-2021,157.64,230.76,0.0,-66.73,309577.69,6237.58,34931.48,-0.19
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,22-Mar-2019,25000.0,451.353,55.389,93.405,17-Jun-2021,54.687,55.389,17158.64,0.0,17158.64,451.35,42158.63,68.63
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,22-Apr-2019,25000.0,446.859,55.946,93.405,17-Jun-2021,54.687,55.946,16738.89,0.0,33897.53,898.21,41738.86,66.96
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-May-2019,25000.0,450.013,55.554,93.405,17-Jun-2021,54.687,55.554,17033.44,0.0,50930.97,1348.22,42033.46,68.13
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-Jun-2019,25000.0,439.09,56.936,93.405,17-Jun-2021,54.687,56.936,16013.17,0.0,66944.14,1787.31,41013.2,64.05
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,22-Jul-2019,25000.0,452.096,55.298,93.405,17-Jun-2021,54.687,55.298,17228.02,0.0,84172.16,2239.41,42228.03,68.91
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-Aug-2019,25000.0,464.037,53.875,93.405,17-Jun-2021,54.687,53.875,18343.38,0.0,102515.55,2703.45,43343.38,73.37
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,23-Sep-2019,25000.0,432.331,57.826,93.405,17-Jun-2021,54.687,57.826,15381.9,0.0,117897.45,3135.78,40381.88,61.53
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,22-Oct-2019,25000.0,433.975,57.607,93.405,17-Jun-2021,54.687,57.607,15535.44,0.0,133432.89,3569.75,40535.43,62.14
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-Nov-2019,25000.0,416.354,60.045,93.405,17-Jun-2021,54.687,60.045,13889.57,0.0,147322.46,3986.11,38889.55,55.56
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,23-Dec-2019,25000.0,409.614,61.033,93.405,17-Jun-2021,54.687,61.033,13260.02,0.0,160582.48,4395.72,38260.0,53.04
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-Jan-2020,25000.0,397.994,62.815,93.405,17-Jun-2021,54.687,62.815,12174.64,0.0,172757.12,4793.72,37174.63,48.7
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,24-Feb-2020,25000.0,398.521,62.732,93.405,17-Jun-2021,54.687,62.732,12223.83,0.0,184980.95,5192.24,37223.85,48.9
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,23-Mar-2020,25000.0,621.674,40.214,93.405,17-Jun-2021,54.687,40.214,33067.46,0.0,218048.42,5813.91,58067.46,132.27
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-Apr-2020,25000.0,516.55,48.398,93.405,17-Jun-2021,54.687,48.398,23248.37,0.0,241296.78,6330.46,48248.35,92.99
Mirae Asset Emerging Bluechip Fund-Direct Plan-Growth,21-May-2020,25000.0,517.77,48.284,93.405,17-Jun-2021,54.687,48.284,23362.3,0.0,264659.08,6848.23,48362.31,93.45
