scheme_name,trans_date,amount,units,purch_nav,nav_balance,trans_type,amc,folio_no,isin,scheme_code,latest_nav,latest_nav_date,gf_nav,new_purch_nav,ltcg,stcg,cumil_ltcg,cumil_units,current_amt,perc_gain
DSP Small Cap Fund - Direct Plan - Growth,05-01-2017,60000,1141.77,52.55,1141.77,PURCHASE,DSP Mutual Fund,1234,INF740K01QD1,119212,98.639,25-06-2021,70.163,70.163,12513.043,0,12513.043,1141.77,112623.051,87.705
DSP Small Cap Fund - Direct Plan - Growth,10-01-2017,100000,1895.842,52.747,3037.612,PURCHASE,DSP Mutual Fund,1234,INF740K01QD1,119212,98.639,25-06-2021,70.163,70.163,33985.997,0,46499.04,3037.612,187003.959,87.004
DSP Small Cap Fund - Direct Plan - Growth,12-01-2017,100000,1877.511,53.262,4915.123,PURCHASE,DSP Mutual Fund,1234,INF740K01QD1,119212,98.639,25-06-2021,70.163,70.163,13464.003,0,59963.043,4915.123,185195.808,85.196
DSP Small Cap Fund - Direct Plan - Growth,13-01-2017,100000,1880.795,53.169,6795.918,PURCHASE,DSP Mutual Fund,1234,INF740K01QD1,119212,98.639,25-06-2021,70.163,70.163,23557.518,0,193520.561,6795.918,185519.738,85.52
DSP Small Cap Fund - Direct Plan - Growth,16-01-2017,100000,1875.891,53.308,8671.809,PURCHASE,DSP Mutual Fund,1234,INF740K01QD1,119212,98.639,25-06-2021,70.163,70.163,13417.872,0,206938.433,8671.809,185036.012,85.036
DSP Small Cap Fund - Direct Plan - Growth,19-01-2017,100000,1858.84,53.797,10530.649,PURCHASE,DSP Mutual Fund,1234,INF740K01QD1,119212,98.639,25-06-2021,70.163,70.163,12932.328,0,219870.761,10530.649,183354.119,83.354
DSP Small Cap Fund - Direct Plan - Growth,31-12-2020,199990,2666,75.015,13196.649,PURCHASE,DSP Mutual Fund,1234,INF740K01QD1,119212,98.639,25-06-2021,70.163,75.015,0,62981.584,219870.761,13196.649,262971.574,31.492
